"log_ell","log_sigma_f","log_sigma_n","source","chain","retained_draw"
-1.90410516133201,-2.79511556890441,-11.4387610665019,"spike",1,195
-1.90410516133201,-2.79511556890441,-11.4387610665019,"spike",1,196
-1.90410516133201,-2.79511556890441,-11.4387610665019,"spike",1,197
-3.34132286057008,-2.50933303856469,-10.4962768146167,"spike",1,198
-3.34132286057008,-2.50933303856469,-10.4962768146167,"spike",1,199
-3.05271096266191,-2.65480160557208,-10.3865576860902,"spike",1,200
-3.05271096266191,-2.65480160557208,-10.3865576860902,"spike",1,201
-1.93301257137636,-2.7356862961811,-10.88132565192,"spike",1,202
-1.93301257137636,-2.7356862961811,-10.88132565192,"spike",1,203
-2.06079085513215,-2.78568041711256,-10.3660516766563,"spike",1,204
-2.55206687989447,-2.8193435358509,-10.8521527504501,"spike",1,205
-2.55206687989447,-2.8193435358509,-10.8521527504501,"spike",1,206
-2.33524822383977,-2.84246371247289,-10.5064784794986,"spike",1,207
-2.33524822383977,-2.84246371247289,-10.5064784794986,"spike",1,208
-2.34810469174043,-2.93145726855419,-10.4334709497356,"spike",1,209
-2.34810469174043,-2.93145726855419,-10.4334709497356,"spike",1,210
-2.83646508361062,-2.67051760204791,-10.916276193491,"spike",1,211
-2.25218204340706,-2.8029982842407,-10.3965498960301,"spike",1,212
-2.25218204340706,-2.8029982842407,-10.3965498960301,"spike",1,213
-2.42084692980965,-2.66594509324678,-10.6398627822209,"spike",1,214
-2.1797248913346,-2.7160751760152,-11.0600150351062,"spike",1,215
-2.03850555229983,-2.89384229296313,-10.3982018460476,"spike",1,216
-2.03850555229983,-2.89384229296313,-10.3982018460476,"spike",1,217
-2.36083104980712,-2.78409945155503,-10.3745188907497,"spike",1,218
-2.74652553208052,-2.92491864321692,-10.8897573186876,"spike",1,219
-2.74652553208052,-2.92491864321692,-10.8897573186876,"spike",1,220
-2.74652553208052,-2.92491864321692,-10.8897573186876,"spike",1,221
-2.40675388152439,-3.08780424858066,-10.6793595930154,"spike",1,222
-2.39302643599645,-2.7732053709696,-11.5783257450117,"spike",1,223
-2.3860909628453,-2.70120970168845,-11.0707245994603,"spike",1,224
-1.84711530430242,-2.7596339054742,-10.6394837528696,"spike",1,225
-2.67886998338765,-2.87633537326991,-10.2122039625813,"spike",1,226
-2.61772695401227,-2.86528484867395,-10.863459637123,"spike",1,227
-2.61772695401227,-2.86528484867395,-10.863459637123,"spike",1,228
-2.61772695401227,-2.86528484867395,-10.863459637123,"spike",1,229
-2.61772695401227,-2.86528484867395,-10.863459637123,"spike",1,230
-2.32251912048277,-2.85788698873506,-10.6059146476404,"spike",1,231
-2.32251912048277,-2.85788698873506,-10.6059146476404,"spike",1,232
-2.32251912048277,-2.85788698873506,-10.6059146476404,"spike",1,233
-2.32251912048277,-2.85788698873506,-10.6059146476404,"spike",1,234
-2.32251912048277,-2.85788698873506,-10.6059146476404,"spike",1,235
-2.32251912048277,-2.85788698873506,-10.6059146476404,"spike",1,236
-2.66658585134865,-2.95684718218947,-10.9138195403839,"spike",1,237
-2.66658585134865,-2.95684718218947,-10.9138195403839,"spike",1,238
-2.66658585134865,-2.95684718218947,-10.9138195403839,"spike",1,239
-2.66658585134865,-2.95684718218947,-10.9138195403839,"spike",1,240
-2.53515392059005,-2.92370817855,-11.0387470275418,"spike",1,241
-2.53515392059005,-2.92370817855,-11.0387470275418,"spike",1,242
-2.53515392059005,-2.92370817855,-11.0387470275418,"spike",1,243
-2.53515392059005,-2.92370817855,-11.0387470275418,"spike",1,244
-2.53515392059005,-2.92370817855,-11.0387470275418,"spike",1,245
-2.53515392059005,-2.92370817855,-11.0387470275418,"spike",1,246
-2.55490391363935,-2.87436102596237,-10.6818435774192,"spike",1,247
-2.55490391363935,-2.87436102596237,-10.6818435774192,"spike",1,248
-2.55490391363935,-2.87436102596237,-10.6818435774192,"spike",1,249
-2.55490391363935,-2.87436102596237,-10.6818435774192,"spike",1,250
-2.32166686693245,-2.82189198078628,-11.1545593720191,"spike",1,251
-2.32166686693245,-2.82189198078628,-11.1545593720191,"spike",1,252
-2.05020825713494,-2.94267443685327,-10.462181331882,"spike",1,253
-2.21657010664786,-3.08613329900108,-10.3008984149825,"spike",1,254
-2.48965938209576,-3.06185227902056,-10.2310480855868,"spike",1,255
-2.70487576208383,-2.99048900558088,-10.6346912905646,"spike",1,256
-2.70487576208383,-2.99048900558088,-10.6346912905646,"spike",1,257
-2.96487448206301,-2.94556623200296,-10.5747677467268,"spike",1,258
-2.96487448206301,-2.94556623200296,-10.5747677467268,"spike",1,259
-2.3187522626715,-2.92673602123787,-10.1174166185215,"spike",1,260
-2.2283756516457,-2.84463766470574,-10.4070529364101,"spike",1,261
-2.36745961123663,-3.08467996491027,-10.361764958809,"spike",1,262
-2.36745961123663,-3.08467996491027,-10.361764958809,"spike",1,263
-2.36745961123663,-3.08467996491027,-10.361764958809,"spike",1,264
-2.36745961123663,-3.08467996491027,-10.361764958809,"spike",1,265
-3.33751099658976,-2.62790923880634,-10.4216090858958,"spike",1,266
-3.30705851240109,-2.63135424566737,-10.7746370337988,"spike",1,267
-3.30705851240109,-2.63135424566737,-10.7746370337988,"spike",1,268
-2.57246419970621,-3.06699076898054,-10.4201989981542,"spike",1,269
-2.16413054244752,-2.87546539691784,-10.6404656733563,"spike",1,270
-2.16413054244752,-2.87546539691784,-10.6404656733563,"spike",1,271
-1.59692598748683,-2.89766068707461,-10.410499326661,"spike",1,272
-2.20175427877854,-2.8831179909911,-10.8815223293593,"spike",1,273
-2.20175427877854,-2.8831179909911,-10.8815223293593,"spike",1,274
-2.20175427877854,-2.8831179909911,-10.8815223293593,"spike",1,275
-2.37908324542181,-3.01462968363938,-10.836005995054,"spike",1,276
-2.37908324542181,-3.01462968363938,-10.836005995054,"spike",1,277
-2.37908324542181,-3.01462968363938,-10.836005995054,"spike",1,278
-2.46651008090933,-2.79210058172824,-10.8929740136677,"spike",1,279
-2.46651008090933,-2.79210058172824,-10.8929740136677,"spike",1,280
-2.29040475502014,-2.78495672767073,-10.772875793507,"spike",1,281
-2.29040475502014,-2.78495672767073,-10.772875793507,"spike",1,282
-2.21404701082647,-2.91640722792559,-10.3963688798574,"spike",1,283
-2.11975870263006,-2.87012762645562,-10.9059785304717,"spike",1,284
-2.76237143819376,-3.05249162990043,-11.1077996061757,"spike",1,285
-2.59464960544459,-3.067526022499,-11.7546201530104,"spike",1,286
-2.59464960544459,-3.067526022499,-11.7546201530104,"spike",1,287
-2.37278669469929,-3.17667292453342,-11.314062490343,"spike",1,288
-2.37278669469929,-3.17667292453342,-11.314062490343,"spike",1,289
-2.82223841670474,-2.98179390746233,-11.5851888921821,"spike",1,290
-3.14929556064099,-2.98966513126651,-11.6246896456625,"spike",1,291
-3.14929556064099,-2.98966513126651,-11.6246896456625,"spike",1,292
-2.97245557359323,-2.89476055399022,-10.5476534104237,"spike",1,293
-2.91619422489205,-2.84315208118079,-10.6931799025619,"spike",1,294
-2.83593351596436,-2.89447435198025,-11.0257024481875,"spike",1,295
-2.74361900892468,-3.11353175981639,-10.5749958799694,"spike",1,296
-2.74361900892468,-3.11353175981639,-10.5749958799694,"spike",1,297
-2.56269096897208,-3.05979060685977,-10.2378414450666,"spike",1,298
-2.56269096897208,-3.05979060685977,-10.2378414450666,"spike",1,299
-2.56269096897208,-3.05979060685977,-10.2378414450666,"spike",1,300
-1.62490582335455,-2.86609456810323,-11.0610911278222,"spike",1,301
-1.07921840615039,-2.60935225391186,-10.5006382365518,"spike",1,302
-1.95946549436355,-2.72927386701251,-10.5404582611617,"spike",1,303
-2.40531636302031,-2.70748313807171,-10.5811961005651,"spike",1,304
-3.17708045296586,-2.85981092986004,-10.4209462895817,"spike",1,305
-1.97679508576597,-2.91132522004585,-11.2683369494597,"spike",1,306
-1.97679508576597,-2.91132522004585,-11.2683369494597,"spike",1,307
-1.97679508576597,-2.91132522004585,-11.2683369494597,"spike",1,308
-2.92011437516722,-3.13929305050931,-10.6703616512908,"spike",1,309
-2.10753505184602,-2.92080533777279,-10.2210367252698,"spike",1,310
-2.10753505184602,-2.92080533777279,-10.2210367252698,"spike",1,311
-1.82918135618214,-2.90264416668143,-10.8457056620238,"spike",1,312
-1.82918135618214,-2.90264416668143,-10.8457056620238,"spike",1,313
-2.01635372374997,-2.98626612529064,-9.92513324432068,"spike",1,314
-1.10538165983305,-2.7126435445546,-10.4510339024281,"spike",1,315
-1.10538165983305,-2.7126435445546,-10.4510339024281,"spike",1,316
-2.66160888961476,-2.95433876026099,-10.3221288925973,"spike",1,317
-2.14522143310731,-2.62580891341299,-10.6540031295581,"spike",1,318
-2.29983472127311,-2.98382509885414,-10.7751129853192,"spike",1,319
-2.25797391158447,-2.81078709135296,-11.0094083550191,"spike",1,320
-2.25797391158447,-2.81078709135296,-11.0094083550191,"spike",1,321
-2.25797391158447,-2.81078709135296,-11.0094083550191,"spike",1,322
-2.25797391158447,-2.81078709135296,-11.0094083550191,"spike",1,323
-2.25797391158447,-2.81078709135296,-11.0094083550191,"spike",1,324
-2.25797391158447,-2.81078709135296,-11.0094083550191,"spike",1,325
-2.27531732485657,-2.73242383831894,-10.3707909109848,"spike",1,326
-1.89784180752421,-2.86632665920499,-10.5428194362444,"spike",1,327
-2.72611981479503,-2.83776144368503,-9.85890855881156,"spike",1,328
-3.25410447573241,-2.47306711657409,-10.6301455708438,"spike",1,329
-2.0348079212027,-3.03320472133631,-11.0788467398551,"spike",1,330
-2.77821700158974,-3.09075766089219,-11.0473130634308,"spike",1,331
-2.77821700158974,-3.09075766089219,-11.0473130634308,"spike",1,332
-2.81210541989397,-2.98946166526317,-11.4440981396576,"spike",1,333
-2.81210541989397,-2.98946166526317,-11.4440981396576,"spike",1,334
-2.41563210879899,-2.90293836152832,-10.8574662507073,"spike",1,335
-2.41563210879899,-2.90293836152832,-10.8574662507073,"spike",1,336
-1.79990524268728,-2.86112727086523,-10.9951775364063,"spike",1,337
-2.2273140280221,-2.85718574911377,-11.1481261145915,"spike",1,338
-2.29442815020601,-2.9283739793222,-10.6523508638034,"spike",1,339
-2.26366528866533,-2.95633787012864,-10.2385154260072,"spike",1,340
-2.26366528866533,-2.95633787012864,-10.2385154260072,"spike",1,341
-2.86843096145475,-2.80275083536076,-10.0720432554538,"spike",1,342
-2.49853326905986,-2.71557043149467,-11.0543769994646,"spike",1,343
-2.49853326905986,-2.71557043149467,-11.0543769994646,"spike",1,344
-2.47268194056688,-2.95244207215019,-11.0058290307559,"spike",1,345
-2.64848764056194,-2.90689358344569,-10.9327592975835,"spike",1,346
-2.26825476579697,-2.97131437523098,-10.6773269077869,"spike",1,347
-2.69250721717954,-3.07146002931965,-10.8200343120257,"spike",1,348
-2.62431959414432,-3.03192027054581,-10.8618536713643,"spike",1,349
-2.62431959414432,-3.03192027054581,-10.8618536713643,"spike",1,350
