"eta","replication","source","seed","source_label","method","RMSE","MAE","Coverage95","Width95","CalibrationMAE","CRPS","NLPD","RMSE_reference","delta_RMSE"
0.001,20,"spike",22161387,"Hidden narrow spike","Matern 1.5",0.0442691168666123,0.0103226875741942,0.957168352171327,0.118835589562161,0.140668872694824,0.013813766391672,-1.41691607396943,0.045418059771116,-0.0011489429045037
0.001,20,"spike",22161387,"Hidden narrow spike","Matern 2.5",0.0441079489505422,0.0103503992195148,0.94883997620464,0.107706240906268,0.136348527662106,0.0134173962056174,-1.21533020650097,0.045418059771116,-0.0013101108205738
0.001,3,"dipole",20461387,"Positive-negative dipole","RBF",0.0346741807633372,0.0168151732760832,0.960737656157049,0.192974913138438,0.122376189767995,0.0188188891410766,-1.45753843325131,0.040393935303961,-0.0057197545406238
0.001,3,"dipole",20461387,"Positive-negative dipole","Matern 0.5",0.040393935303961,0.0163591696327732,0.990481856038073,0.476733465917042,0.177229699583581,0.0331110750719529,-1.1327693882658,0.040393935303961,0
0.001,3,"dipole",20461387,"Positive-negative dipole","Matern 1.5",0.0328491899001124,0.0138590919307487,0.980963712076145,0.302644620956865,0.168037254610351,0.0227578046000652,-1.53771298819331,0.040393935303961,-0.0075447454038486
0.001,3,"dipole",20461387,"Positive-negative dipole","Matern 2.5",0.0327614537588974,0.0143103680395855,0.979773944080904,0.257723180655485,0.156065214158239,0.0206668281187087,-1.62647406577343,0.040393935303961,-0.0076324815450636
0.001,3,"edge",20461387,"Moving-edge source","RBF",0.185062439029264,0.122429651395056,0.726353361094587,0.263498188672761,0.211229550862582,0.100878014706295,4.58689185510286,0.166622718005064,0.0184397210242
0.001,3,"edge",20461387,"Moving-edge source","Matern 0.5",0.166622718005064,0.0991067806337946,0.894110648423557,0.568661073347125,0.0975174747174301,0.0829594826706169,-0.365446763368773,0.166622718005064,0
0.001,3,"edge",20461387,"Moving-edge source","Matern 1.5",0.17502495156761,0.108747683032071,0.80725758477097,0.333597531856545,0.0953015318262939,0.0884229005497795,0.931704310043165,0.166622718005064,0.00840223356254599
0.001,3,"edge",20461387,"Moving-edge source","Matern 2.5",0.178499551398109,0.113170017408803,0.788221296847115,0.295171430471085,0.137315214158239,0.0924444677431098,2.02403728965481,0.166622718005064,0.011876833393045
