"source","hyper_method","kernel","label","nominal","empirical","mean_width","method","replication","eta","seed"
"dipole","multistart_eb","matern25","Matern 2.5",0.7,0.94883997620464,0.136249611364733,"Matern 2.5",1,0.001,20261387
"dipole","multistart_eb","matern25","Matern 2.5",0.8,0.966091612135634,0.168472865231214,"Matern 2.5",1,0.001,20261387
"dipole","multistart_eb","matern25","Matern 2.5",0.9,0.972635336109459,0.21623258155883,"Matern 2.5",1,0.001,20261387
"dipole","multistart_eb","matern25","Matern 2.5",0.95,0.979773944080904,0.25765701287652,"Matern 2.5",1,0.001,20261387
"dipole","multistart_eb","matern25","Matern 2.5",0.975,0.980963712076145,0.294654971215454,"Matern 2.5",1,0.001,20261387
"dipole","multistart_eb","matern25","Matern 2.5",0.99,0.983343248066627,0.338618714051505,"Matern 2.5",1,0.001,20261387
"ring","multistart_eb","rbf","RBF",0.5,0.569898869720404,0.0983064959000236,"RBF",1,0.001,20261387
"ring","multistart_eb","rbf","RBF",0.6,0.591909577632362,0.122665814155895,"RBF",1,0.001,20261387
"ring","multistart_eb","rbf","RBF",0.7,0.613325401546698,0.15105957462704,"RBF",1,0.001,20261387
"ring","multistart_eb","rbf","RBF",0.8,0.634146341463415,0.186785408803105,"RBF",1,0.001,20261387
"ring","multistart_eb","rbf","RBF",0.9,0.673408685306365,0.239736476776757,"RBF",1,0.001,20261387
"ring","multistart_eb","rbf","RBF",0.95,0.698393813206425,0.285663631440459,"RBF",1,0.001,20261387
"ring","multistart_eb","rbf","RBF",0.975,0.70493753718025,0.326683167516691,"RBF",1,0.001,20261387
"ring","multistart_eb","rbf","RBF",0.99,0.73051754907793,0.375425649974483,"RBF",1,0.001,20261387
"ring","multistart_eb","matern05","Matern 0.5",0.5,0.675193337299227,0.196529681714983,"Matern 0.5",1,0.001,20261387
"ring","multistart_eb","matern05","Matern 0.5",0.6,0.701963117192148,0.245227674861733,"Matern 0.5",1,0.001,20261387
"ring","multistart_eb","matern05","Matern 0.5",0.7,0.737061273051755,0.301991133440917,"Matern 0.5",1,0.001,20261387
"ring","multistart_eb","matern05","Matern 0.5",0.8,0.802498512790006,0.373412525845796,"Matern 0.5",1,0.001,20261387
"ring","multistart_eb","matern05","Matern 0.5",0.9,0.868530636525877,0.47926978827852,"Matern 0.5",1,0.001,20261387
"ring","multistart_eb","matern05","Matern 0.5",0.95,0.894705532421178,0.571085176524191,"Matern 0.5",1,0.001,20261387
"ring","multistart_eb","matern05","Matern 0.5",0.975,0.922070196311719,0.65308948656853,"Matern 0.5",1,0.001,20261387
"ring","multistart_eb","matern05","Matern 0.5",0.99,0.937537180249851,0.750533144545823,"Matern 0.5",1,0.001,20261387
"ring","multistart_eb","matern15","Matern 1.5",0.5,0.616299821534801,0.133510706804605,"Matern 1.5",1,0.001,20261387
"ring","multistart_eb","matern15","Matern 1.5",0.6,0.635930993456276,0.16659325916134,"Matern 1.5",1,0.001,20261387
"ring","multistart_eb","matern15","Matern 1.5",0.7,0.663295657346817,0.205155014360087,"Matern 1.5",1,0.001,20261387
"ring","multistart_eb","matern15","Matern 1.5",0.8,0.697798929208804,0.253674507689208,"Matern 1.5",1,0.001,20261387
"ring","multistart_eb","matern15","Matern 1.5",0.9,0.747174301011303,0.325587705759157,"Matern 1.5",1,0.001,20261387
"ring","multistart_eb","matern15","Matern 1.5",0.95,0.784057108863772,0.387961680383491,"Matern 1.5",1,0.001,20261387
"ring","multistart_eb","matern15","Matern 1.5",0.975,0.80785246876859,0.443670585519366,"Matern 1.5",1,0.001,20261387
"ring","multistart_eb","matern15","Matern 1.5",0.99,0.864961332540155,0.50986807557098,"Matern 1.5",1,0.001,20261387
"ring","multistart_eb","matern25","Matern 2.5",0.5,0.599643069601428,0.118930980985332,"Matern 2.5",1,0.001,20261387
"ring","multistart_eb","matern25","Matern 2.5",0.6,0.620464009518144,0.148400830254001,"Matern 2.5",1,0.001,20261387
"ring","multistart_eb","matern25","Matern 2.5",0.7,0.641879833432481,0.182751538778188,"Matern 2.5",1,0.001,20261387
"ring","multistart_eb","matern25","Matern 2.5",0.8,0.673408685306365,0.225972573829622,"Matern 2.5",1,0.001,20261387
"ring","multistart_eb","matern25","Matern 2.5",0.9,0.709101725163593,0.2900326585745,"Matern 2.5",1,0.001,20261387
"ring","multistart_eb","matern25","Matern 2.5",0.95,0.747769185008923,0.34559522855537,"Matern 2.5",1,0.001,20261387
"ring","multistart_eb","matern25","Matern 2.5",0.975,0.774538964901844,0.395220572439774,"Matern 2.5",1,0.001,20261387
"ring","multistart_eb","matern25","Matern 2.5",0.99,0.805472932778108,0.454189119749822,"Matern 2.5",1,0.001,20261387
"edge","multistart_eb","rbf","RBF",0.5,0.363474122546104,0.0922409637382346,"RBF",1,0.001,20261387
"edge","multistart_eb","rbf","RBF",0.6,0.433075550267698,0.115097306763756,"RBF",1,0.001,20261387
"edge","multistart_eb","rbf","RBF",0.7,0.48720999405116,0.141739166043071,"RBF",1,0.001,20261387
"edge","multistart_eb","rbf","RBF",0.8,0.559190957763236,0.175260708486247,"RBF",1,0.001,20261387
"edge","multistart_eb","rbf","RBF",0.9,0.664485425342058,0.224944684058174,"RBF",1,0.001,20261387
"edge","multistart_eb","rbf","RBF",0.95,0.719809637120761,0.268038123297867,"RBF",1,0.001,20261387
"edge","multistart_eb","rbf","RBF",0.975,0.757287328970851,0.3065267450835,"RBF",1,0.001,20261387
"edge","multistart_eb","rbf","RBF",0.99,0.778108268887567,0.352261805780539,"RBF",1,0.001,20261387
"edge","multistart_eb","matern05","Matern 0.5",0.5,0.713265913146936,0.198347997899831,"Matern 0.5",1,0.001,20261387
"edge","multistart_eb","matern05","Matern 0.5",0.6,0.780487804878049,0.247496550719479,"Matern 0.5",1,0.001,20261387
