"eta","method","nominal","empirical_mean","empirical_mcse","empirical_q025","empirical_q975"
0.01,"Matern 1.5",0.95,0.901824310926036,0.00192331300237632,0.886025183422566,0.915243902439024
0.1,"Matern 1.5",0.95,0.883159825500694,0.00726784254650863,0.823651596272061,0.943483541542733
0.001,"Matern 2.5",0.95,0.813166765813999,0.00155950708132059,0.802399365457069,0.825262740432282
0.01,"Matern 2.5",0.95,0.876462423160817,0.00253502657578949,0.853296648820147,0.89320592901051
0.1,"Matern 2.5",0.95,0.858938132064248,0.00770316942161325,0.794608863771564,0.925575054531033
0.001,"RBF",0.95,0.745459052151497,0.00176327541946443,0.733085465000991,0.761689470553242
0.01,"RBF",0.95,0.822204045211184,0.0037222068247635,0.785782272456871,0.842209498314495
0.1,"RBF",0.95,0.819789807654174,0.00858916835623021,0.744898869720405,0.892551556613127
0.001,"Matern 0.5",0.975,0.965243902439024,8.49478557187601e-05,0.964745687091017,0.965950327186199
0.01,"Matern 0.5",0.975,0.968015070394606,0.000607210584618954,0.963729426928415,0.972984830458061
0.1,"Matern 0.5",0.975,0.959156256196708,0.00369800927159451,0.929959845330161,0.989344140392624
0.001,"Matern 1.5",0.975,0.894422962522308,0.000312893370506489,0.891842653182629,0.89639599444775
0.01,"Matern 1.5",0.975,0.919239539956375,0.00151629537082967,0.906940313305572,0.930852171326591
0.1,"Matern 1.5",0.975,0.901031132262542,0.00640757960861109,0.848983739837398,0.955666270077335
0.001,"Matern 2.5",0.975,0.833739837398374,0.00157253223822191,0.822117291294864,0.845974618282768
0.01,"Matern 2.5",0.975,0.896683521713266,0.00198688873894716,0.878794864168154,0.909894903827087
0.1,"Matern 2.5",0.975,0.879947451913544,0.00720886225488076,0.821056414832441,0.94128494943486
0.001,"RBF",0.975,0.762442990283561,0.00177179188008106,0.750228038865755,0.779045211183819
0.01,"RBF",0.975,0.848944080904224,0.00344771612069361,0.815286040055523,0.865962720602816
0.1,"RBF",0.975,0.844918699186992,0.00793363328365746,0.777471247273448,0.91358070592901
0.001,"Matern 0.5",0.99,0.973036882807853,0.000119166897473863,0.972233789411065,0.97402835613722
0.01,"Matern 0.5",0.99,0.976774737259568,0.000503188459220042,0.973383898473131,0.980956276026175
0.1,"Matern 0.5",0.99,0.969125520523498,0.00286824097088935,0.949781875867539,0.993877652191156
0.001,"Matern 1.5",0.99,0.914683720007932,0.000262171220021358,0.91318907396391,0.916825302399366
