"replication","eta","seed","source","source_label","method","RMSE","MAE","Coverage95","Width95","CalibrationMAE","CRPS","NLPD"
12,0.001,21361387,"dipole","Positive-negative dipole","Matern 0.5",0.0404405531590524,0.016571448092087,0.990481856038073,0.475981947154314,0.177155339083879,0.0330845739059913,-1.13400088400763
12,0.001,21361387,"dipole","Positive-negative dipole","Matern 1.5",0.0328913382179828,0.0139051591292244,0.980963712076145,0.302196658054713,0.167814173111243,0.0227489676157032,-1.53836896931312
12,0.001,21361387,"dipole","Positive-negative dipole","Matern 2.5",0.0328003010560628,0.0143039221833398,0.979773944080904,0.257445066648768,0.156065214158239,0.0206670717483609,-1.62641228034545
12,0.001,21361387,"ring","Ring-shaped source","RBF",0.161347814700346,0.102883792426906,0.694824509220702,0.282252231670924,0.169959473527662,0.0890070206460826,2.37567129559658
12,0.001,21361387,"ring","Ring-shaped source","Matern 0.5",0.159305631625389,0.0970493305768046,0.892325996430696,0.56570856582114,0.0634603658536585,0.0836968708645949,-0.353390899046059
12,0.001,21361387,"ring","Ring-shaped source","Matern 1.5",0.158849547312733,0.0990636421424645,0.777513384889946,0.383624396740543,0.114248587150506,0.0844639285005014,0.256797869829404
12,0.001,21361387,"ring","Ring-shaped source","Matern 2.5",0.159626647397255,0.100232767866948,0.741820345032719,0.341595217715749,0.136854179060083,0.0858361215891849,0.758350734309539
12,0.001,21361387,"edge","Moving-edge source","RBF",0.188722984293778,0.123826441727352,0.714455681142177,0.268913502644844,0.209519259369423,0.102403408993679,4.51063692995286
12,0.001,21361387,"edge","Moving-edge source","Matern 0.5",0.168359621028885,0.0986152289330689,0.899464604402142,0.577769417423463,0.0961046252230815,0.0835537145168595,-0.361316959467682
12,0.001,21361387,"edge","Moving-edge source","Matern 1.5",0.177791281648352,0.109222129544784,0.808447352766211,0.340524509284599,0.0911373438429506,0.089377973543279,0.898466439922992
12,0.001,21361387,"edge","Moving-edge source","Matern 2.5",0.181642434996153,0.114060471414784,0.784651992861392,0.301584967758719,0.132704863176681,0.0936256933896865,1.96719229687486
12,0.001,21361387,"sine","Sine-cosine source","RBF",0.0437080086609301,0.0319495562630873,0.229625223081499,0.0272306312866149,0.624302126710292,0.0288067528683056,27.1694222930252
12,0.001,21361387,"sine","Sine-cosine source","Matern 0.5",0.0561603322575786,0.0409341259428138,1,0.451348165387003,0.164514054134444,0.0360908046874406,-1.160365601738
12,0.001,21361387,"sine","Sine-cosine source","Matern 1.5",0.0427402670141717,0.0330469666981311,0.796549672813801,0.107848919681601,0.16059005056514,0.0243399507126457,-1.02101707442611
12,0.001,21361387,"sine","Sine-cosine source","Matern 2.5",0.0417642776783903,0.0315258588475936,0.441403926234384,0.05341341865074,0.463386005353956,0.0262906184680226,6.91290912266962
12,0.001,21361387,"spike","Hidden narrow spike","Tikhonov discrepancy",0.0470925936119928,0.00962509597195135,NA,NA,NA,NA,NA
12,0.001,21361387,"mixture","Broad plus sharp source","Tikhonov discrepancy",0.0482009698800453,0.0190700214846712,NA,NA,NA,NA,NA
12,0.001,21361387,"dipole","Positive-negative dipole","Tikhonov discrepancy",0.0560393489959732,0.0255189091307393,NA,NA,NA,NA,NA
