"source","hyper_method","kernel","nominal","empirical"
"moving_edge","multistart_eb","matern15",0.5,0.468173706127305
"moving_edge","multistart_eb","matern15",0.6,0.540749553837002
"moving_edge","multistart_eb","matern15",0.7,0.593694229625223
"moving_edge","multistart_eb","matern15",0.8,0.658536585365854
"moving_edge","multistart_eb","matern15",0.9,0.734681737061273
"moving_edge","multistart_eb","matern15",0.95,0.798929208804283
"moving_edge","multistart_eb","matern15",0.975,0.823319452706722
"moving_edge","multistart_eb","matern15",0.99,0.839976204640095
"moving_edge","multistart_eb","matern25",0.5,0.418203450327186
"moving_edge","multistart_eb","matern25",0.6,0.484235574063058
"moving_edge","multistart_eb","matern25",0.7,0.55145746579417
"moving_edge","multistart_eb","matern25",0.8,0.607376561570494
"moving_edge","multistart_eb","matern25",0.9,0.686496133254015
"moving_edge","multistart_eb","matern25",0.95,0.753718024985128
"moving_edge","multistart_eb","matern25",0.975,0.784651992861392
"moving_edge","multistart_eb","matern25",0.99,0.808447352766211
"moving_edge","map","rbf",0.5,0.356335514574658
"moving_edge","map","rbf",0.6,0.418798334324807
"moving_edge","map","rbf",0.7,0.489589530041642
"moving_edge","map","rbf",0.8,0.546103509815586
"moving_edge","map","rbf",0.9,0.614515169541939
"moving_edge","map","rbf",0.95,0.662700773349197
"moving_edge","map","rbf",0.975,0.710886377156455
"moving_edge","map","rbf",0.99,0.753718024985128
"moving_edge","map","matern05",0.5,0.657346817370613
"moving_edge","map","matern05",0.6,0.715645449137418
"moving_edge","map","matern05",0.7,0.773944080904224
"moving_edge","map","matern05",0.8,0.842355740630577
"moving_edge","map","matern05",0.9,0.890541344437835
"moving_edge","map","matern05",0.95,0.914336704342653
"moving_edge","map","matern05",0.975,0.934562760261749
"moving_edge","map","matern05",0.99,0.954788816180845
"moving_edge","map","matern15",0.5,0.475312314098751
"moving_edge","map","matern15",0.6,0.542534205829863
"moving_edge","map","matern15",0.7,0.60202260559191
"moving_edge","map","matern15",0.8,0.663295657346817
"moving_edge","map","matern15",0.9,0.738251041046996
"moving_edge","map","matern15",0.95,0.80785246876859
"moving_edge","map","matern15",0.975,0.827483640690065
"moving_edge","map","matern15",0.99,0.848304580606782
"moving_edge","map","matern25",0.5,0.424747174301011
"moving_edge","map","matern25",0.6,0.48780487804878
"moving_edge","map","matern25",0.7,0.552647233789411
"moving_edge","map","matern25",0.8,0.609756097560976
"moving_edge","map","matern25",0.9,0.686496133254015
"moving_edge","map","matern25",0.95,0.75609756097561
"moving_edge","map","matern25",0.975,0.789411064842356
"moving_edge","map","matern25",0.99,0.814396192742415
"sine","multistart_eb","rbf",0.5,0.372992266508031
"sine","multistart_eb","rbf",0.6,0.466389054134444
"sine","multistart_eb","rbf",0.7,0.560380725758477
"sine","multistart_eb","rbf",0.8,0.657346817370613
"sine","multistart_eb","rbf",0.9,0.763831052944676
"sine","multistart_eb","rbf",0.95,0.838786436644854
"sine","multistart_eb","rbf",0.975,0.896490184414039
"sine","multistart_eb","rbf",0.99,0.952409280190363
"sine","multistart_eb","matern05",0.5,0.799524092801904
"sine","multistart_eb","matern05",0.6,0.867340868530637
"sine","multistart_eb","matern05",0.7,0.926829268292683
"sine","multistart_eb","matern05",0.8,0.965496728138013
"sine","multistart_eb","matern05",0.9,0.991671624033314
"sine","multistart_eb","matern05",0.95,0.996430696014277
"sine","multistart_eb","matern05",0.975,0.997025580011898
"sine","multistart_eb","matern05",0.99,0.998810232004759
"sine","multistart_eb","matern15",0.5,0.583581201665675
"sine","multistart_eb","matern15",0.6,0.685901249256395
"sine","multistart_eb","matern15",0.7,0.785841760856633
"sine","multistart_eb","matern15",0.8,0.8720999405116
"sine","multistart_eb","matern15",0.9,0.96133254015467
"sine","multistart_eb","matern15",0.95,0.995240928019036
"sine","multistart_eb","matern15",0.975,1
"sine","multistart_eb","matern15",0.99,1
"sine","multistart_eb","matern25",0.5,0.486020226055919
"sine","multistart_eb","matern25",0.6,0.591909577632362
"sine","multistart_eb","matern25",0.7,0.698393813206425
"sine","multistart_eb","matern25",0.8,0.790005948839976
"sine","multistart_eb","matern25",0.9,0.898274836406901
"sine","multistart_eb","matern25",0.95,0.969066032123736
"sine","multistart_eb","matern25",0.975,1
"sine","multistart_eb","matern25",0.99,1
"sine","map","rbf",0.5,0.37120761451517
"sine","map","rbf",0.6,0.462819750148721
"sine","map","rbf",0.7,0.559190957763236
"sine","map","rbf",0.8,0.654967281380131
"sine","map","rbf",0.9,0.763236168947055
"sine","map","rbf",0.95,0.837596668649613
"sine","map","rbf",0.975,0.896490184414039
"sine","map","rbf",0.99,0.951219512195122
"sine","map","matern05",0.5,0.851279000594884
"sine","map","matern05",0.6,0.922070196311719
"sine","map","matern05",0.7,0.966686496133254
"sine","map","matern05",0.8,0.988102320047591
"sine","map","matern05",0.9,0.998215348007139
"sine","map","matern05",0.95,1
"sine","map","matern05",0.975,1
"sine","map","matern05",0.99,1
"sine","map","matern15",0.5,0.586555621653778
"sine","map","matern15",0.6,0.701368233194527
"sine","map","matern15",0.7,0.791195716835217
"sine","map","matern15",0.8,0.881023200475907
"sine","map","matern15",0.9,0.967876264128495
"sine","map","matern15",0.95,0.995240928019036
"sine","map","matern15",0.975,1
"sine","map","matern15",0.99,1
"sine","map","matern25",0.5,0.490779298036883
"sine","map","matern25",0.6,0.596073765615705
"sine","map","matern25",0.7,0.702558001189768
"sine","map","matern25",0.8,0.795954788816181
"sine","map","matern25",0.9,0.903033908387864
"sine","map","matern25",0.95,0.972635336109459
"sine","map","matern25",0.975,1
"sine","map","matern25",0.99,1
